Sex,Body Shape,Preferred tops,"Preferred Bottoms,",Preferred Other
Female,Triangle,"Ruffle sleeves,Cuff sleeves,Elbow Flared Sleeves,Sweetheart Neck,Cowl Neck","Flared,Bootcut,Wide Leg, Cigarette Pants,Flared skirt,Panneled skirt,Pleated Skirt, A-Line Skirt","Belted Dress,Wrap Dress, Pleated Dress, Skater Dress"
Female,Rectangle,"Puffed Sleeves,Rolled Sleeves,Bishop Sleeves,Off shoulder Neck,Scoop Neck,Sweetheart Neck","Structured Trousers,Slim Jeans,Boot-cut Jeans,Cargo Pants,Tapered Skirt,Flowy Skirt,Box Pleat Skirt","Halter-Neck Dress,Natural Line Dress,Open Back Dress,High-Waist definition Dress"
Female,Inverted_Triangle,"Shot Sleeves,Kimono,Dolamn Sleeves,Raglan Sleeves,Asymmetric Neck,Halter Neck,U Neck","Flared Pants, Baggy Pants, Palazzo,Harem Pants,Boyfriend JeansFuller Skirts,Full Peplum Skirts,Tulip Skirts,Horizontal Stripes Skirts","Peplum Dress,Flared Dress,Belted Dress"
Female,Oval,"Bell Sleeves,Puffed SleevesV Neck,Square Neck,Scoop Neck,Plunge NeckTunic Tops","Wide Leg Pants,Palazzo Pants,A-Line Skirts,Skater Skirts,Ruffled Midi Skirts","Strapless Dress,Flowy Skirts,Straight-Cut Dress,One Shoulder Dress,Empire Waist dress"
Female,Hour Glass,"Natural curve sleeves,Elnow-Length Sleeves,Cap Sleeves,Flutter SleevesRound Neck,Jewel Neck,Sweetheart Neck,Oval Neck","High Waist Flared pants,Wide-leg Loose Fitting Pants,Jumpsuits,Slim-Fit Jeans,Straight Jeans,Pencil Skirts,Tube Skirts","Bodycon Dress,Tulip Dress,Wrap Dress,Peplum Dress,Flowy Dress"
Male,Ectomorph,"Crew-Neck,V-Neck,Slim-Fit T-shirts,Button-up Shirt,Horizontal Prints","Slim Fit Distressed Jeans,Painted Skinny Jeans, Staright Fit Pants","Slim Fit Sweaters, Blazers and Coats"
Male,Mesomorph,"Classic Fit shirts,Regular Shirts,Vertical Prints T-shirt,Medium Sized Prints T-shirts","Straight Leg Pants,Rider Jeans,Distressed Jeans",Wide Shoulder-Slim Fit Jackets
Male,Endomorph,"Monochromatic,Small Patterns T-shirts, Narrow Point Collar Shirts,Standard Collar Shirt","Straight Fit Pants, Relaxed Fit Pants,Fit to size Pants","Structured Shoulder Blazers, Jackets"
